Data,Cliques,Impressões,CTR,Posição
2026-04-28,7,155,4.52%,10.7
2026-04-29,4,147,2.72%,8.6
2026-04-30,3,128,2.34%,11.3
2026-05-01,1,43,2.33%,16.4
2026-05-02,1,48,2.08%,9.8
2026-05-03,0,39,0%,18.1
2026-05-04,3,118,2.54%,13.6
2026-05-05,11,129,8.53%,11.2
2026-05-06,6,134,4.48%,9.3
2026-05-07,3,82,3.66%,7.2
2026-05-08,3,110,2.73%,8.5
2026-05-09,2,43,4.65%,8.1
2026-05-10,0,52,0%,11.7
2026-05-11,5,136,3.68%,13.4
2026-05-12,4,133,3.01%,9.6
2026-05-13,3,116,2.59%,9.9
2026-05-14,5,121,4.13%,9.1
2026-05-15,3,130,2.31%,11.9
2026-05-16,0,57,0%,18.8
2026-05-17,0,49,0%,25.1
2026-05-18,11,155,7.1%,10.4
2026-05-19,5,141,3.55%,12
2026-05-20,7,142,4.93%,12
2026-05-21,7,135,5.19%,12
2026-05-22,7,181,3.87%,10.7
2026-05-23,0,53,0%,29.1
2026-05-24,0,46,0%,20.6
2026-05-25,9,150,6%,13.2
2026-05-26,9,144,6.25%,10
2026-05-27,9,166,5.42%,9.9
2026-05-28,6,149,4.03%,10.5
2026-05-29,1,146,0.68%,9.5
2026-05-30,2,87,2.3%,12.7
2026-05-31,1,87,1.15%,15.6
2026-06-01,6,173,3.47%,8.9
2026-06-02,6,177,3.39%,10.5
2026-06-03,5,140,3.57%,11.2
2026-06-04,0,79,0%,17.7
2026-06-05,2,117,1.71%,13.8
2026-06-06,0,78,0%,23.8
2026-06-07,1,61,1.64%,18.6
2026-06-08,8,187,4.28%,11.4
2026-06-09,10,193,5.18%,9.3
2026-06-10,4,174,2.3%,8.7
2026-06-11,5,196,2.55%,10.4
2026-06-12,4,146,2.74%,10.5
2026-06-13,2,93,2.15%,20.5
2026-06-14,0,82,0%,23.9
2026-06-15,10,192,5.21%,13
2026-06-16,5,185,2.7%,9.5
2026-06-17,9,229,3.93%,11.2
2026-06-18,7,206,3.4%,10.9
2026-06-19,5,138,3.62%,13.6
2026-06-20,1,119,0.84%,22.6
2026-06-21,2,95,2.11%,18.6
2026-06-22,6,231,2.6%,14.5
2026-06-23,7,301,2.33%,13.8
2026-06-24,8,216,3.7%,12
2026-06-25,13,254,5.12%,12.4
2026-06-26,4,231,1.73%,12.9
2026-06-27,0,117,0%,23.8
2026-06-28,1,124,0.81%,18
2026-06-29,3,233,1.29%,14.5
2026-06-30,7,370,1.89%,14.1
2026-07-01,13,302,4.3%,13.8
2026-07-02,10,301,3.32%,11.6
2026-07-03,4,286,1.4%,14.1
2026-07-04,3,223,1.35%,24.1
2026-07-05,1,153,0.65%,23.6
2026-07-06,11,277,3.97%,16.8
2026-07-07,7,306,2.29%,14.6
2026-07-08,6,348,1.72%,16
2026-07-09,6,237,2.53%,17.4
2026-07-10,5,247,2.02%,15.5
2026-07-11,1,177,0.56%,27.5
2026-07-12,3,168,1.79%,24.6
2026-07-13,13,496,2.62%,13.4
2026-07-14,4,318,1.26%,16
2026-07-15,11,460,2.39%,18.2
2026-07-16,14,545,2.57%,15.3
2026-07-17,13,403,3.23%,12.4
2026-07-18,0,160,0%,21.4
2026-07-19,4,190,2.11%,22.7
2026-07-20,16,320,5%,15
2026-07-21,13,312,4.17%,15.1
2026-07-22,9,277,3.25%,14.5
2026-07-23,7,271,2.58%,13.7
2026-07-24,13,289,4.5%,17.4
2026-07-25,3,136,2.21%,26.1
2026-07-26,2,136,1.47%,26.7
2026-07-27,7,311,2.25%,16.5
