País,Cliques,Impressões,CTR,Posição
Brasil,462,14469,3.19%,12.47
Portugal,5,150,3.33%,19.47
Índia,2,105,1.9%,33.23
México,2,60,3.33%,62.3
Polônia,2,8,25%,22.88
Estados Unidos,1,853,0.12%,25.36
Espanha,1,25,4%,42.2
China,1,8,12.5%,6.5
Países Baixos,1,6,16.67%,6
Filipinas,1,5,20%,31.2
Alemanha,0,186,0%,35.77
Itália,0,111,0%,37.11
Canadá,0,108,0%,27.17
Austrália,0,89,0%,34.2
Reino Unido,0,82,0%,25.82
Argentina,0,41,0%,46.66
Japão,0,25,0%,24.92
Vietnã,0,24,0%,58.83
Indonésia,0,22,0%,45.32
Noruega,0,16,0%,30.94
Moçambique,0,13,0%,4
Angola,0,8,0%,8.5
Coréia do Sul,0,8,0%,15.38
Colômbia,0,8,0%,65
Egito,0,8,0%,72.75
Taiwan,0,6,0%,12.67
Paraguai,0,5,0%,4.2
França,0,5,0%,9
Bolívia,0,5,0%,9.8
Uruguai,0,5,0%,22
Peru,0,4,0%,9.5
Venezuela,0,4,0%,15.25
Rússia,0,4,0%,30
Turquia,0,4,0%,52.5
Ucrânia,0,3,0%,4.67
Malásia,0,3,0%,5.33
Equador,0,3,0%,6
Emirados Árabes Unidos,0,3,0%,9
Bangladesh,0,3,0%,14.67
Cazaquistão,0,3,0%,21.67
Singapura,0,2,0%,2.5
Panamá,0,2,0%,5.5
África do Sul,0,2,0%,6.5
Jordânia,0,2,0%,7.5
Paquistão,0,2,0%,9
Chile,0,2,0%,9.5
Tailândia,0,2,0%,10.5
Irlanda,0,2,0%,16
Hungria,0,2,0%,20.5
Grécia,0,2,0%,21.5
Marrocos,0,2,0%,24.5
Luxemburgo,0,1,0%,1
Uganda,0,1,0%,1
República Dominicana,0,1,0%,2
Hong Kong,0,1,0%,2
Suécia,0,1,0%,2
Bélgica,0,1,0%,5
Cuba,0,1,0%,6
Áustria,0,1,0%,7
Suíça,0,1,0%,7
Coréia do Norte,0,1,0%,9
Malta,0,1,0%,10
Gana,0,1,0%,12
Sérvia,0,1,0%,16
Finlândia,0,1,0%,33
Argélia,0,1,0%,34
Dinamarca,0,1,0%,35
Israel,0,1,0%,36
Quênia,0,1,0%,55
