Nome,Tipo,Categoria,Cidade,Bairro,Endereço,Telefone,WhatsApp,E-mail,Site,Instagram,Facebook,LinkedIn,Google Maps,Nota no Google,Quantidade de avaliações,Status,Score comercial,Classificação comercial,Observações comerciais
Colégio Moura Aguiar,Escola,Colégio,Guarulhos,Torres Tibagy,"Alameda Yayá, 871, Torres Tibagy, Guarulhos, SP",+55 11 95579 2277,+55 11 95579 2277,colegiomouraaguiar@gmail.com,,,,,https://www.google.com/maps/search/?api=1&query=Col%C3%A9gio+Moura+Aguiar+Alameda+Yay%C3%A1%2C+871%2C+Torres+Tibagy%2C+Guarulhos%2C+SP,,,sem informação,93,Prioridade Alta,sem site encontrado na fonte publica; telefone localizado; e-mail localizado; possivel WhatsApp; redes sociais nao localizadas; operador: private; nota/avaliacoes Google nao coletadas nesta fonte
Colégio Franciscano Sébio,Escola,Colégio,Mogi das Cruzes,Alto do Ipiranga,"Rua Francisco Vaz Coelho, 616, Alto do Ipiranga, Mogi das Cruzes, SP",+55 11 4794 0702,,secretaria@colegioseibo.com.br,https://colegioseibo.com.br/,,,,https://www.google.com/maps/search/?api=1&query=Col%C3%A9gio+Franciscano+S%C3%A9bio+Rua+Francisco+Vaz+Coelho%2C+616%2C+Alto+do+Ipiranga%2C+Mogi+das+Cruzes%2C+SP,,,sem informação,84,Prioridade Alta,tem site; telefone localizado; e-mail localizado; redes sociais nao localizadas; operador: private; nota/avaliacoes Google nao coletadas nesta fonte
Hospital Municipal de Mogi das Cruzes Prefeito Waldemar Costa Filho,Saúde,Hospital,Mogi das Cruzes,Brás Cubas,"Rua Guttermann, 577, Brás Cubas, Mogi das Cruzes, SP",+55 11 4791 7780,,sau@hmmcprosaude.org.br,http://www.hospital.pmmc.com.br/,,,,https://www.google.com/maps/search/?api=1&query=Hospital+Municipal+de+Mogi+das+Cruzes+Prefeito+Waldemar+Costa+Filho+Rua+Guttermann%2C+577%2C+Br%C3%A1s+Cubas%2C+Mogi+das+Cruzes%2C+SP,,,sem informação,76,Prioridade Alta,tem site; telefone localizado; e-mail localizado; redes sociais nao localizadas; nota/avaliacoes Google nao coletadas nesta fonte
Hospital de Clínicas Luzia de Pinho Melo,Saúde,Hospital,Mogi das Cruzes,Rodeio,"Rua Manuel de Oliveira, Rodeio, Mogi das Cruzes, SP",+55 11 3583 2903,,sau@hclpm.spdm.org.br,https://spdm.org.br/onde-estamos/hospitais-e-pronto-socorros/hospital-de-clinicas-luzia-de-pinho-melo-mogi-das-cruzes,,,,https://www.google.com/maps/search/?api=1&query=Hospital+de+Cl%C3%ADnicas+Luzia+de+Pinho+Melo+Rua+Manuel+de+Oliveira%2C+Rodeio%2C+Mogi+das+Cruzes%2C+SP,,,sem informação,76,Prioridade Alta,tem site; telefone localizado; e-mail localizado; redes sociais nao localizadas; operador: government; nota/avaliacoes Google nao coletadas nesta fonte
Hospital e Maternidade São Luiz Guarulhos,Saúde,Maternidade,Guarulhos,Maia,"Avenida Tiradentes, 1803, Maia, Guarulhos, SP",+55 11 3543 1010,,,https://www.rededorsaoluiz.com.br/maternidade/unidades/sao-luiz-guarulhos,rededor_oficial,rededor,,https://www.google.com/maps/search/?api=1&query=Hospital+e+Maternidade+S%C3%A3o+Luiz+Guarulhos+Avenida+Tiradentes%2C+1803%2C+Maia%2C+Guarulhos%2C+SP,,,sem informação,76,Prioridade Alta,tem site; telefone localizado; nota/avaliacoes Google nao coletadas nesta fonte
Colégio Sion - Arujá,Escola,Colégio,Arujá,Caputera,"Estrada dos Limoeiros, 951, Caputera, Arujá, SP",+55 11 4652 1585,,colegiosion@colegiosionaruja.org.br,https://www.colegiosionaruja.org.br/,,,,https://www.google.com/maps/search/?api=1&query=Col%C3%A9gio+Sion+-+Aruj%C3%A1+Estrada+dos+Limoeiros%2C+951%2C+Caputera%2C+Aruj%C3%A1%2C+SP,,,sem informação,76,Prioridade Alta,tem site; telefone localizado; e-mail localizado; redes sociais nao localizadas; nota/avaliacoes Google nao coletadas nesta fonte
Maternidade Municipal Dalila Ferreira Barbosa,Saúde,Maternidade,Arujá,Chácara São José,"Rua Diomar Fernandes Negretti, 400, Chácara São José, Arujá, SP",+55 11 4655 2931,,saude.depto@aruja.sp.gov.br,http://governoeletronico.aruja.sp.gov.br/saude/ubs/maternidademunicipal.php,,,,https://www.google.com/maps/search/?api=1&query=Maternidade+Municipal+Dalila+Ferreira+Barbosa+Rua+Diomar+Fernandes+Negretti%2C+400%2C+Ch%C3%A1cara+S%C3%A3o+Jos%C3%A9%2C+Aruj%C3%A1%2C+SP,,,sem informação,76,Prioridade Alta,tem site; telefone localizado; e-mail localizado; redes sociais nao localizadas; operador: government; nota/avaliacoes Google nao coletadas nesta fonte
Colégio Millenium Construtivo,Escola,Colégio,Mogi das Cruzes,Centro Cívico,"Avenida Antônio de Almeida, 170, Centro Cívico, Mogi das Cruzes, SP",+55 11 4699 2030,,contato@colegioconstrutivo.com.br,https://www.colegioconstrutivo.com.br/,,,,https://www.google.com/maps/search/?api=1&query=Col%C3%A9gio+Millenium+Construtivo+Avenida+Ant%C3%B4nio+de+Almeida%2C+170%2C+Centro+C%C3%ADvico%2C+Mogi+das+Cruzes%2C+SP,,,sem informação,76,Prioridade Alta,tem site; telefone localizado; e-mail localizado; redes sociais nao localizadas; nota/avaliacoes Google nao coletadas nesta fonte
Colégio Genêsis,Escola,Colégio,Mogi das Cruzes,Vila Industrial,"Avenida José Benedito Braga, 25, Vila Industrial, Mogi das Cruzes, SP",+55 11 47911679,,contato@colegiogenesismogi.com.br,https://www.colegiogenesismogi.com.br/?pagina=inicio,,,,https://www.google.com/maps/search/?api=1&query=Col%C3%A9gio+Gen%C3%AAsis+Avenida+Jos%C3%A9+Benedito+Braga%2C+25%2C+Vila+Industrial%2C+Mogi+das+Cruzes%2C+SP,,,sem informação,76,Prioridade Alta,tem site; telefone localizado; e-mail localizado; redes sociais nao localizadas; nota/avaliacoes Google nao coletadas nesta fonte
Faculdade de Filosofia e Teologia Paulo VI,Escola,Faculdade / Ensino Superior,Mogi das Cruzes,Shangai,"Avenida Francisco Rodrigues Filho, 248, Shangai, Mogi das Cruzes, SP",+55 11 4790 5660,,secretaria@faculdadepaulovi.com.br,http://www.faculdadepaulovi.com.br/,,,,https://www.google.com/maps/search/?api=1&query=Faculdade+de+Filosofia+e+Teologia+Paulo+VI+Avenida+Francisco+Rodrigues+Filho%2C+248%2C+Shangai%2C+Mogi+das+Cruzes%2C+SP,,,sem informação,76,Prioridade Alta,tem site; telefone localizado; e-mail localizado; redes sociais nao localizadas; nota/avaliacoes Google nao coletadas nesta fonte
Colégio Júlio Mesquita,Escola,Colégio,Guarulhos,Itapegica,"Avenida Rotary, 304, Itapegica, Guarulhos, SP",+55 11 2421 9088,,atendimento@colegiojm.com.br,https://www.colegiojm.com.br/,,,,https://www.google.com/maps/search/?api=1&query=Col%C3%A9gio+J%C3%BAlio+Mesquita+Avenida+Rotary%2C+304%2C+Itapegica%2C+Guarulhos%2C+SP,,,sem informação,76,Prioridade Alta,tem site; telefone localizado; e-mail localizado; redes sociais nao localizadas; nota/avaliacoes Google nao coletadas nesta fonte
Colégio Gardhon Bandeiras,Escola,Colégio,Guarulhos,Vila Galvão,"Rua Freire de Andrade, 151, Vila Galvão, Guarulhos, SP",+55 11 4962 3321,,secretaria@gardhonbandeiras.com.br,https://gardhonbandeiras.com.br/,,,,https://www.google.com/maps/search/?api=1&query=Col%C3%A9gio+Gardhon+Bandeiras+Rua+Freire+de+Andrade%2C+151%2C+Vila+Galv%C3%A3o%2C+Guarulhos%2C+SP,,,sem informação,76,Prioridade Alta,tem site; telefone localizado; e-mail localizado; redes sociais nao localizadas; nota/avaliacoes Google nao coletadas nesta fonte
Colégio Maha-Dei,Escola,Colégio,Guarulhos,Vila Galvão,"Avenida Doutor Timoteo Penteado, 3150, Vila Galvão, Guarulhos, SP",+55 11 2451 6133,,maha-dei@maha-dei.com.br,https://www.maha-dei.com.br/,,,,https://www.google.com/maps/search/?api=1&query=Col%C3%A9gio+Maha-Dei+Avenida+Doutor+Timoteo+Penteado%2C+3150%2C+Vila+Galv%C3%A3o%2C+Guarulhos%2C+SP,,,sem informação,76,Prioridade Alta,tem site; telefone localizado; e-mail localizado; redes sociais nao localizadas; nota/avaliacoes Google nao coletadas nesta fonte
Colégio Portal Dimensão 3,Escola,Colégio,Guarulhos,Itapegica,"Rua Cavadas, 472, Itapegica, Guarulhos, SP",+55 11 2421 4058,,contato@colegioportalguarulhos.com.br,https://colegioportalguarulhos.com.br/,,,,https://www.google.com/maps/search/?api=1&query=Col%C3%A9gio+Portal+Dimens%C3%A3o+3+Rua+Cavadas%2C+472%2C+Itapegica%2C+Guarulhos%2C+SP,,,sem informação,76,Prioridade Alta,tem site; telefone localizado; e-mail localizado; redes sociais nao localizadas; nota/avaliacoes Google nao coletadas nesta fonte
