Nome,Tipo,Categoria,Cidade,Bairro,Endereço,Telefone,WhatsApp,E-mail,Site,Instagram,Facebook,LinkedIn,Google Maps,Nota no Google,Quantidade de avaliações,Status,Score comercial,Classificação comercial,Observações comerciais,Duplicado de
Escola Municipal de Educação Infantil Professora Cecília de Souza Lima Vianna,Escola,Escola Infantil,Mogi das Cruzes,Taiaçupeba,"Rua Avelino Nunes de Souza, 235, Taiaçupeba, Mogi das Cruzes, SP",+55 11 4724 0761,,em.vianna@se-pmmc.com.br,https://www.mogidascruzes.sp.gov.br/unidade-e-equipamento/0/escola-municipal-cecilia-de-souza-lima-vianna-prof,,,,https://www.google.com/maps/search/?api=1&query=Escola+Municipal+de+Educa%C3%A7%C3%A3o+Infantil+Professora+Cec%C3%ADlia+de+Souza+Lima+Vianna+Rua+Avelino+Nunes+de+Souza%2C+235%2C+Taia%C3%A7upeba%2C+Mogi+das+Cruzes%2C+SP,,,sem informação,68,Prioridade Média,tem site; telefone localizado; e-mail localizado; redes sociais nao localizadas; operador: government; nota/avaliacoes Google nao coletadas nesta fonte,Escola Municipal de Educação Infantil Professora Cecília de Souza Lima Vianna
Escola de Educação Infantil e Ensino Fundamental Professora  Botyra Camorim Gatti,Escola,Escola Infantil,Mogi das Cruzes,Alto do Ipiranga,"Rua Carmem Moura Santos, 134, Alto do Ipiranga, Mogi das Cruzes, SP",+55 11 4799 9548,,apae@apaemc.org.br,https://apaemc.org.br/apae/quem-somos/,,,,https://www.google.com/maps/search/?api=1&query=Escola+de+Educa%C3%A7%C3%A3o+Infantil+e+Ensino+Fundamental+Professora++Botyra+Camorim+Gatti+Rua+Carmem+Moura+Santos%2C+134%2C+Alto+do+Ipiranga%2C+Mogi+das+Cruzes%2C+SP,,,sem informação,68,Prioridade Média,tem site; telefone localizado; e-mail localizado; redes sociais nao localizadas; nota/avaliacoes Google nao coletadas nesta fonte,Escola de Educação Infantil e Ensino Fundamental Professora  Botyra Camorim Gatti
Unidade de Pronto Atendimento Judiapeba,Saúde,Pronto Atendimento / UPA,Mogi das Cruzes,Jundiapeba,"Rua Doutor Francisco Soares Marialva, Jundiapeba, Mogi das Cruzes, SP",+55 11 4798 5990,,,,,,,https://www.google.com/maps/search/?api=1&query=Unidade+de+Pronto+Atendimento+Judiapeba+Rua+Doutor+Francisco+Soares+Marialva%2C+Jundiapeba%2C+Mogi+das+Cruzes%2C+SP,,,sem informação,61,Prioridade Média,sem site encontrado na fonte publica; telefone localizado; redes sociais nao localizadas; nota/avaliacoes Google nao coletadas nesta fonte,Unidade de Pronto Atendimento Judiapeba
Mogi-Mater Hospital e Maternidade,Saúde,Maternidade,Mogi das Cruzes,Centro,"Rua Marechal Deodoro, 83, Centro, Mogi das Cruzes, SP",+55 11 4799 0123,,,https://mogimater.com.br/,,,,https://www.google.com/maps/search/?api=1&query=Mogi-Mater+Hospital+e+Maternidade+Rua+Marechal+Deodoro%2C+83%2C+Centro%2C+Mogi+das+Cruzes%2C+SP,,,sem informação,66,Prioridade Média,tem site; telefone localizado; redes sociais nao localizadas; nota/avaliacoes Google nao coletadas nesta fonte,Mogi-Mater Hospital e Maternidade
Unidade de Pronto Atendimento Paulista,Saúde,Pronto Atendimento / UPA,Guarulhos,Picanço,"Rua Teixeira Mendes, 166, Picanço, Guarulhos, SP",+55 11 2468 8480,,,,,,,https://www.google.com/maps/search/?api=1&query=Unidade+de+Pronto+Atendimento+Paulista+Rua+Teixeira+Mendes%2C+166%2C+Pican%C3%A7o%2C+Guarulhos%2C+SP,,,sem informação,61,Prioridade Média,sem site encontrado na fonte publica; telefone localizado; redes sociais nao localizadas; nota/avaliacoes Google nao coletadas nesta fonte,Unidade de Pronto Atendimento Paulista
Hospital e Maternidade São Luiz Guarulhos,Saúde,Maternidade,Guarulhos,Maia,"Avenida Tiradentes, 1803, Maia, Guarulhos, SP",+55 11 3543 1010,,,https://www.rededorsaoluiz.com.br/maternidade/unidades/sao-luiz-guarulhos,rededor_oficial,rededor,,https://www.google.com/maps/search/?api=1&query=Hospital+e+Maternidade+S%C3%A3o+Luiz+Guarulhos+Avenida+Tiradentes%2C+1803%2C+Maia%2C+Guarulhos%2C+SP,,,sem informação,76,Prioridade Alta,tem site; telefone localizado; nota/avaliacoes Google nao coletadas nesta fonte,Hospital e Maternidade São Luiz Guarulhos
Hospital Maternidade Jesus José e Maria,Saúde,Maternidade,Guarulhos,Maia,"Avenida Doutor Renato de Andrade Maia, 1337, Maia, Guarulhos, SP",,,,,,,,https://www.google.com/maps/search/?api=1&query=Hospital+Maternidade+Jesus+Jos%C3%A9+e+Maria+Avenida+Doutor+Renato+de+Andrade+Maia%2C+1337%2C+Maia%2C+Guarulhos%2C+SP,,,sem informação,39,Prioridade Baixa,sem site encontrado na fonte publica; redes sociais nao localizadas; nota/avaliacoes Google nao coletadas nesta fonte,Hospital Maternidade Jesus José e Maria
Hospital e Maternidade Ipiranga Arujá,Saúde,Maternidade,Arujá,Centro,"Rua Melvin Jones, 208, Centro, Arujá, SP",,,,https://www.hospitaisipiranga.com.br/unidades-avancadas/hospital-e-maternidade-ipiranga-aruja/aruja/,,,,https://www.google.com/maps/search/?api=1&query=Hospital+e+Maternidade+Ipiranga+Aruj%C3%A1+Rua+Melvin+Jones%2C+208%2C+Centro%2C+Aruj%C3%A1%2C+SP,,,sem informação,48,Prioridade Baixa,tem site; redes sociais nao localizadas; nota/avaliacoes Google nao coletadas nesta fonte,Hospital e Maternidade Ipiranga Arujá
Colégio Franciscano Sébio,Escola,Colégio,Mogi das Cruzes,Alto do Ipiranga,"Rua Francisco Vaz Coelho, 616, Alto do Ipiranga, Mogi das Cruzes, SP",+55 11 4794 0702,,secretaria@colegioseibo.com.br,https://colegioseibo.com.br/,,,,https://www.google.com/maps/search/?api=1&query=Col%C3%A9gio+Franciscano+S%C3%A9bio+Rua+Francisco+Vaz+Coelho%2C+616%2C+Alto+do+Ipiranga%2C+Mogi+das+Cruzes%2C+SP,,,sem informação,84,Prioridade Alta,tem site; telefone localizado; e-mail localizado; redes sociais nao localizadas; operador: private; nota/avaliacoes Google nao coletadas nesta fonte,Colégio Franciscano Sébio
Instituto Federal de Educação Ciência e Tecnologia de São Paulo - IFSP Campus Suzano,Escola,Escola,Mogi das Cruzes,Parque Suzano,"Avenida Mogi das Cruzes, 1501, Parque Suzano, Mogi das Cruzes, SP",,,,,,,,https://www.google.com/maps/search/?api=1&query=Instituto+Federal+de+Educa%C3%A7%C3%A3o+Ci%C3%AAncia+e+Tecnologia+de+S%C3%A3o+Paulo+-+IFSP+Campus+Suzano+Avenida+Mogi+das+Cruzes%2C+1501%2C+Parque+Suzano%2C+Mogi+das+Cruzes%2C+SP,,,sem informação,31,Prioridade Baixa,sem site encontrado na fonte publica; redes sociais nao localizadas; operador: public; nota/avaliacoes Google nao coletadas nesta fonte,Instituto Federal de Educação Ciência e Tecnologia de São Paulo - IFSP Campus Suzano
Colégio Sion - Arujá,Escola,Colégio,Arujá,Caputera,"Estrada dos Limoeiros, 951, Caputera, Arujá, SP",+55 11 4652 1585,,colegiosion@colegiosionaruja.org.br,https://www.colegiosionaruja.org.br/,,,,https://www.google.com/maps/search/?api=1&query=Col%C3%A9gio+Sion+-+Aruj%C3%A1+Estrada+dos+Limoeiros%2C+951%2C+Caputera%2C+Aruj%C3%A1%2C+SP,,,sem informação,76,Prioridade Alta,tem site; telefone localizado; e-mail localizado; redes sociais nao localizadas; nota/avaliacoes Google nao coletadas nesta fonte,Colégio Sion - Arujá
Centro de Aendemente Sócio-Eucacional ao Adolescente de Arujá,Escola,Colégio,Arujá,São Bento,"Rua Calogero Rapê, São Bento, Arujá, SP",,,e006476a@educacao.sp.gov.br,,,,,https://www.google.com/maps/search/?api=1&query=Centro+de+Aendemente+S%C3%B3cio-Eucacional+ao+Adolescente+de+Aruj%C3%A1+Rua+Calogero+Rap%C3%AA%2C+S%C3%A3o+Bento%2C+Aruj%C3%A1%2C+SP,,,sem informação,49,Prioridade Baixa,sem site encontrado na fonte publica; e-mail localizado; redes sociais nao localizadas; operador: government; nota/avaliacoes Google nao coletadas nesta fonte,Centro de Aendemente Sócio-Eucacional ao Adolescente de Arujá
