Nome,Tipo,Categoria,Cidade,Bairro,Endereço,Telefone,WhatsApp,E-mail,Site,Instagram,Facebook,LinkedIn,Google Maps,Nota no Google,Quantidade de avaliações,Status,Score comercial,Classificação comercial,Observações comerciais
Colégio Moura Aguiar,Escola,Colégio,Guarulhos,Torres Tibagy,"Alameda Yayá, 871, Torres Tibagy, Guarulhos, SP",+55 11 95579 2277,+55 11 95579 2277,colegiomouraaguiar@gmail.com,,,,,https://www.google.com/maps/search/?api=1&query=Col%C3%A9gio+Moura+Aguiar+Alameda+Yay%C3%A1%2C+871%2C+Torres+Tibagy%2C+Guarulhos%2C+SP,,,sem informação,70,Prioridade Alta,sem site encontrado na fonte publica; telefone localizado; e-mail localizado; possivel WhatsApp; redes sociais nao localizadas; operador: private; nota/avaliacoes Google nao coletadas nesta fonte
Hospital e Maternidade São Luiz Guarulhos,Saúde,Maternidade,Guarulhos,Maia,"Avenida Tiradentes, 1803, Maia, Guarulhos, SP",+55 11 3543 1010,,,https://www.rededorsaoluiz.com.br/maternidade/unidades/sao-luiz-guarulhos,rededor_oficial,rededor,,https://www.google.com/maps/search/?api=1&query=Hospital+e+Maternidade+S%C3%A3o+Luiz+Guarulhos+Avenida+Tiradentes%2C+1803%2C+Maia%2C+Guarulhos%2C+SP,,,sem informação,65,Prioridade Média,tem site; telefone localizado; nota/avaliacoes Google nao coletadas nesta fonte
Colégio Conexao Oliveira,Escola,Colégio,Mogi das Cruzes,Jardim Armenia,"Engenheiro Miguel Gemma, 838, Jardim Armenia, Mogi das Cruzes, SP",(11) 94721-5703,(11) 94721-5703,,,,,,https://www.google.com/maps/search/?api=1&query=Engenheiro+Miguel+Gemma%2C+838%2C+Jardim+Armenia%2C+Mogi+das+Cruzes-SP,,,sem informação,65,Prioridade Média,Fonte Escolas.com.br: http://escolas.com.br/colegio-conexao-oliveira-35011090; site oficial/redes não coletados nesta fonte
Doce Encanto Colégio,Escola,Colégio,Mogi das Cruzes,Vila Oliveira,"Avenida Helio Borenstein, 1020, Vila Oliveira, Mogi das Cruzes, SP",(11) 97047-7893,(11) 97047-7893,,,,,,https://www.google.com/maps/search/?api=1&query=Avenida+Helio+Borenstein%2C+1020%2C+Vila+Oliveira%2C+Mogi+das+Cruzes-SP,,,sem informação,65,Prioridade Média,Fonte Escolas.com.br: http://escolas.com.br/doce-encanto-colegio-35009410; site oficial/redes não coletados nesta fonte
Guarani Colégio,Escola,Colégio,Mogi das Cruzes,Centro,"Sao Joao, 37, Rua, Centro, Mogi das Cruzes, SP",(11) 97283-4933,(11) 97283-4933,,,,,,https://www.google.com/maps/search/?api=1&query=Sao+Joao%2C+37%2C+Rua%2C+Centro%2C+Mogi+das+Cruzes-SP,,,sem informação,65,Prioridade Média,Fonte Escolas.com.br: http://escolas.com.br/guarani-colegio-35139609; site oficial/redes não coletados nesta fonte
Guarani Colégio de Ensino Fundamental,Escola,Colégio,Mogi das Cruzes,Loteamento Mogilar,"Newton Straube, 29, Loteamento Mogilar, Mogi das Cruzes, SP",(11) 93395-4406,(11) 93395-4406,,,,,,https://www.google.com/maps/search/?api=1&query=Newton+Straube%2C+29%2C+Loteamento+Mogilar%2C+Mogi+das+Cruzes-SP,,,sem informação,65,Prioridade Média,Fonte Escolas.com.br: http://escolas.com.br/guarani-colegio-de-ensino-fundamental-35369895; site oficial/redes não coletados nesta fonte
Colégio Catelao,Escola,Colégio,Guarulhos,Parque Santos Dumont,"Ezequiel Coronel, 423, Rua, Parque Santos Dumont, Guarulhos, SP",(11) 94006-5730,(11) 94006-5730,,,,,,https://www.google.com/maps/search/?api=1&query=Ezequiel+Coronel%2C+423%2C+Rua%2C+Parque+Santos+Dumont%2C+Guarulhos-SP,,,sem informação,65,Prioridade Média,Fonte Escolas.com.br: http://escolas.com.br/colegio-catelao-35290117; site oficial/redes não coletados nesta fonte
Colégio Fonte do Saber,Escola,Colégio,Guarulhos,Parque Continental II,"Lisboa, 305, Parque Continental II, Guarulhos, SP",(11) 98996-5002,(11) 98996-5002,,,,,,https://www.google.com/maps/search/?api=1&query=Lisboa%2C+305%2C+Parque+Continental+II%2C+Guarulhos-SP,,,sem informação,65,Prioridade Média,Fonte Escolas.com.br: http://escolas.com.br/colegio-fonte-do-saber-35010795; site oficial/redes não coletados nesta fonte
Colégio Objetivo Plenitude Junior,Escola,Colégio,Guarulhos,Vila Rosalia,"Rua Conego Ezequias, 26, Vila Rosalia, Guarulhos, SP",(11) 94778-6781,(11) 94778-6781,,,,,,https://www.google.com/maps/search/?api=1&query=Rua+Conego+Ezequias%2C+26%2C+Vila+Rosalia%2C+Guarulhos-SP,,,sem informação,65,Prioridade Média,Fonte Escolas.com.br: http://escolas.com.br/colegio-objetivo-plenitude-junior-35010912; site oficial/redes não coletados nesta fonte
Colégio Ribeiro Dias,Escola,Colégio,Guarulhos,Residencial e Comercial Guarulhos,"Rua Amor Perfeito dos Jardins, 249, Residencial e Comercial Guarulhos, Guarulhos, SP",(11) 98932-8861,(11) 98932-8861,,,,,,https://www.google.com/maps/search/?api=1&query=Rua+Amor+Perfeito+dos+Jardins%2C+249%2C+Residencial+e+Comercial+Guarulhos%2C+Guarulhos-SP,,,sem informação,65,Prioridade Média,Fonte Escolas.com.br: http://escolas.com.br/colegio-ribeiro-dias-35587746; site oficial/redes não coletados nesta fonte
