Nome,Tipo,Categoria,Cidade,Bairro,Endereço,Telefone,WhatsApp,E-mail,Site,Instagram,Facebook,LinkedIn,Google Maps,Nota no Google,Quantidade de avaliações,Status,Score comercial,Classificação comercial,Observações comerciais,Duplicado de
Colégio Brasilis,Escola,Colégio,Mogi das Cruzes,Alto do Ipiranga,"Rua José Colela, 211, Alto do Ipiranga, Mogi das Cruzes, SP",+55 11 4723 8789,,,https://colegiobrasilis.com.br/,,,,https://www.google.com/maps/search/?api=1&query=Col%C3%A9gio+Brasilis+Rua+Jos%C3%A9+Colela%2C+211%2C+Alto+do+Ipiranga%2C+Mogi+das+Cruzes%2C+SP,,,sem informação,55,Prioridade Média,tem site; telefone localizado; redes sociais nao localizadas; nota/avaliacoes Google nao coletadas nesta fonte,Colégio Brasílis
Colégio Brasilis,Escola,Colégio,Mogi das Cruzes,Alto do Ipiranga,"Avenida Brás de Pina, 1125, Alto do Ipiranga, Mogi das Cruzes, SP",+55 11 4793 9100,,,https://colegiobrasilis.com.br/,,,,https://www.google.com/maps/search/?api=1&query=Col%C3%A9gio+Brasilis+Avenida+Br%C3%A1s+de+Pina%2C+1125%2C+Alto+do+Ipiranga%2C+Mogi+das+Cruzes%2C+SP,,,sem informação,55,Prioridade Média,tem site; telefone localizado; redes sociais nao localizadas; nota/avaliacoes Google nao coletadas nesta fonte,Colégio Brasílis
Escola Técnica Itaquaquecetuna,Escola,Escola,Itaquaquecetuba,Santa Tereza,"Rua Cambará Orli, 866, Santa Tereza, Itaquaquecetuba, SP",+55 11 4642 5544,,,,,,,https://www.google.com/maps/search/?api=1&query=Escola+T%C3%A9cnica+Itaquaquecetuna+Rua+Cambar%C3%A1+Orli%2C+866%2C+Santa+Tereza%2C+Itaquaquecetuba%2C+SP,,,sem informação,40,Prioridade Baixa,sem site encontrado na fonte publica; telefone localizado; redes sociais nao localizadas; operador: government; nota/avaliacoes Google nao coletadas nesta fonte,Escola Técnica Itaquaquecetuna
Clinica Médica São João,Saúde,Clínica,Guarulhos,São João,"Rua Lagoa de Dentro, 74, São João, Guarulhos, SP",,,,,,,,https://www.google.com/maps/search/?api=1&query=Clinica+M%C3%A9dica+S%C3%A3o+Jo%C3%A3o+Rua+Lagoa+de+Dentro%2C+74%2C+S%C3%A3o+Jo%C3%A3o%2C+Guarulhos%2C+SP,,,sem informação,30,Prioridade Baixa,sem site encontrado na fonte publica; redes sociais nao localizadas; operador: private; nota/avaliacoes Google nao coletadas nesta fonte,Clinica Médica São João
Hospital Carlos Chagas,Saúde,Hospital,Guarulhos,Centro,"Ladeira Campos Sales, Centro, Guarulhos, SP",,,,,,,,https://www.google.com/maps/search/?api=1&query=Hospital+Carlos+Chagas+Ladeira+Campos+Sales%2C+Centro%2C+Guarulhos%2C+SP,,,sem informação,35,Prioridade Baixa,sem site encontrado na fonte publica; redes sociais nao localizadas; nota/avaliacoes Google nao coletadas nesta fonte,Hospital Carlos Chagas
Colégio Sentido Obrigatório,Escola,Colégio,Itaquaquecetuba,Vila Zeferina,"Rua Bagé, Vila Zeferina, Itaquaquecetuba, SP",,,,,,,,https://www.google.com/maps/search/?api=1&query=Col%C3%A9gio+Sentido+Obrigat%C3%B3rio+Rua+Bag%C3%A9%2C+Vila+Zeferina%2C+Itaquaquecetuba%2C+SP,,,sem informação,35,Prioridade Baixa,sem site encontrado na fonte publica; redes sociais nao localizadas; nota/avaliacoes Google nao coletadas nesta fonte,Colégio Sentido Obrigatório
Colégio do Re Mi,Escola,Colégio,Itaquaquecetuba,Jardim Mossapyra,"Alberto Hinoto, 6468, Jardim Mossapyra, Itaquaquecetuba, SP",(11) 4649-2020,,,,,,,https://www.google.com/maps/search/?api=1&query=Alberto+Hinoto%2C+6468%2C+Jardim+Mossapyra%2C+Itaquaquecetuba-SP,,,sem informação,50,Prioridade Média,Fonte Escolas.com.br: http://escolas.com.br/colegio-do-re-mi-35004012; site oficial/redes não coletados nesta fonte,Colégio Dó Ré Mi
Escola Municipal José Braz Neto,Escola,Escola,Suzano,Jardim Quaresmeira,"Eunice Cerqueira Innocencio, 380, Rua, Jardim Quaresmeira, Suzano, SP",(11) 4751-2477,,,,,,,https://www.google.com/maps/search/?api=1&query=Eunice+Cerqueira+Innocencio%2C+380%2C+Rua%2C+Jardim+Quaresmeira%2C+Suzano-SP,,,sem informação,40,Prioridade Baixa,Fonte Escolas.com.br: http://escolas.com.br/escola-municipal-jose-braz-neto-35570606; site oficial/redes não coletados nesta fonte,Escola Municipal José Braz Neto
Athenas Instituto de Educação,Escola,Escola,Arujá,Jardim Renata,"Diomar Fernandes Negretti, 25, Jardim Renata, Arujá, SP",(11) 4653-5059,,,,,,,https://www.google.com/maps/search/?api=1&query=Diomar+Fernandes+Negretti%2C+25%2C+Jardim+Renata%2C+Aruj%C3%A1-SP,,,sem informação,40,Prioridade Baixa,Fonte Escolas.com.br: http://escolas.com.br/athenas-instituto-de-educacao-35268586; site oficial/redes não coletados nesta fonte,Athenas Instituto de Educação
Cecan Centro De Convi E Apoio Ao Paciente Com Cancer,Saúde,Clínica,Mogi das Cruzes,Vila Vitoria,"Icds Instituto De Cooperacao Para O Desenvolvimento Da Sau, 26, Vila Vitoria, Mogi Das Cruzes, Sp",,,,,,,,https://www.google.com/maps/search/?api=1&query=Cecan+Centro+De+Convi+E+Apoio+Ao+Paciente+Com+Cancer+ICDS+INSTITUTO+DE+COOPERACAO+PARA+O+DESENVOLVIMENTO+DA+SAU%2C+26%2C+VILA+VITORIA%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,30,Prioridade Baixa,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530604420438; CNES 4420438; CNPJ 06288135000504; site oficial/redes não coletados nesta fonte,Cecan Centro De Convi E Apoio Ao Paciente Com Cancer
